bandwidth,bandwidth_ratio,polynomial_order,kernel,estimate,se,ci_low,ci_high,pvalue,n_effective,significant
0.6458372735408338,0.5,1,triangular,0.17906598498848128,0.14058013536010788,-0.0964660172590959,0.4545979872360585,0.20274689198229523,1714,False
0.6458372735408338,0.5,1,uniform,0.14845335440471397,0.18390338780841808,-0.21199066233468794,0.5088973711441158,0.41953078153576406,1714,False
0.6458372735408338,0.5,2,triangular,0.2814073425547,0.18171050771041505,-0.07473870817020128,0.6375533932796014,0.12146407296628858,1714,False
0.6458372735408338,0.5,2,uniform,0.2098920838002841,0.223532904429712,-0.2282243582415853,0.6480085258421535,0.3477429487695556,1714,False
0.9687559103112506,0.75,1,triangular,0.091014838226252,0.13148062002963173,-0.16668244169682184,0.34871211814932584,0.488792860495332,2637,False
0.9687559103112506,0.75,1,uniform,0.005299572567806728,0.16148428831298967,-0.3112038165947354,0.32180296173034884,0.9738198168891945,2637,False
0.9687559103112506,0.75,2,triangular,0.20440556636142432,0.1529828663810703,-0.0954353419971769,0.5042464747200255,0.18150557017358837,2637,False
0.9687559103112506,0.75,2,uniform,0.15761903197502183,0.19910760559909627,-0.23262470404721244,0.5478627679972561,0.42857797773351436,2637,False
1.2916745470816675,1.0,1,triangular,0.03051107360281753,0.11896568454954755,-0.20265738351044882,0.2636795307160839,0.7975883027318817,3743,False
1.2916745470816675,1.0,1,uniform,-0.04338170448168094,0.15081670419666654,-0.3389770129741782,0.25221360401081633,0.7736183243503363,3743,False
1.2916745470816675,1.0,2,triangular,0.18997748815021426,0.14236564001097302,-0.08905403890728736,0.4690090152077159,0.18206180683531104,3743,False
1.2916745470816675,1.0,2,uniform,0.12426737644817187,0.1920550520974302,-0.2521536087117551,0.5006883616080988,0.5176058011546418,3743,False
1.6145931838520844,1.25,1,triangular,0.023956690325926323,0.11345138145575795,-0.19840393132367462,0.24631731197552725,0.8327603822766219,4360,False
1.6145931838520844,1.25,1,uniform,0.017536639658910603,0.1282940523394837,-0.23391508235717412,0.26898836167499535,0.8912750600394246,4360,False
1.6145931838520844,1.25,2,triangular,0.1133130703203519,0.13765231209207993,-0.15648050376879216,0.38310664440949593,0.41040382282370036,4360,False
1.6145931838520844,1.25,2,uniform,0.04721963487515468,0.17919122913860844,-0.3039887205819822,0.39842799033229154,0.7921534136691772,4360,False
1.9375118206225013,1.5,1,triangular,0.03446016608049116,0.10002479714149015,-0.1615848338777545,0.2305051660387368,0.7304580920076851,4953,False
1.9375118206225013,1.5,1,uniform,0.06235508307695436,0.10554079163662086,-0.14450106743066868,0.2692112335845774,0.5546443817088611,4953,False
1.9375118206225013,1.5,2,triangular,0.061609137386351744,0.13122798330297628,-0.1955929836513053,0.3188112584240088,0.6387253586275792,4953,False
1.9375118206225013,1.5,2,uniform,-0.0032454094225976005,0.17103907932874965,-0.33847584485583615,0.33198502601064095,0.9848613152840657,4953,False
2.583349094163335,2.0,1,triangular,0.057374086361682786,0.0843715447592712,-0.10799110268649789,0.22273927540986346,0.4964936847346406,6784,False
2.583349094163335,2.0,1,uniform,0.08652173787029284,0.09628024199802458,-0.10218406886863608,0.2752275446092218,0.3688418931518087,6784,False
2.583349094163335,2.0,2,triangular,0.030632965200293183,0.12216564849471417,-0.20880730599732647,0.2700732363979128,0.8020078512579554,6784,False
2.583349094163335,2.0,2,uniform,-0.020878835825737272,0.15814048496045083,-0.330828490845919,0.2890708191944444,0.8949628256448641,6784,False
