bandwidth,bandwidth_ratio,polynomial_order,kernel,estimate,se,ci_low,ci_high,pvalue,n_effective,significant
10,3.497991583950633,1,triangular,-1.0607827403687493,0.539770709459154,-2.1187138908183245,-0.0028515899191741134,0.049385662359784366,9760,True
10,3.497991583950633,1,uniform,-0.9617942653747374,0.6539774046451744,-2.243566425182257,0.3199778944327819,0.1413765289959945,9760,False
10,3.497991583950633,2,triangular,-1.4851736039685166,0.6989201195396098,-2.855031866336581,-0.1153153416004522,0.0335903916833411,9760,True
10,3.497991583950633,2,uniform,-1.2159056146257625,0.8914263379839824,-2.9630691319447977,0.5312579026932727,0.17256753402957048,9760,False
20,6.995983167901266,1,triangular,-0.6698068446822326,0.4277011098954235,-1.5080856162250704,0.16847192686060508,0.11733389014639051,18028,False
20,6.995983167901266,1,uniform,-0.3350478901452477,0.48392306814322356,-1.2835196749940883,0.6134238947035928,0.4887126870964864,18028,False
20,6.995983167901266,2,triangular,-0.9922665028820562,0.5388776181131679,-2.0484472264585945,0.06391422069448194,0.06556914332003716,18028,False
20,6.995983167901266,2,uniform,-0.9498258709353395,0.6903835309917059,-2.3029527271986754,0.4033009853279963,0.16888526199222387,18028,False
30,10.4939747518519,1,triangular,-0.20077967714380734,0.35447237734101067,-0.8955327702464801,0.4939734159588655,0.5711093888705132,27111,False
30,10.4939747518519,1,uniform,0.0450936469029139,0.4044254460882536,-0.7475656618616084,0.8377529556674361,0.9112194545208918,27111,False
30,10.4939747518519,2,triangular,-0.9635194832260097,0.4730384354328972,-1.8906577799776638,-0.0363811864743554,0.041662714074777174,27111,True
30,10.4939747518519,2,uniform,-0.47064784748323174,0.5832546316426445,-1.6138059193189909,0.6725102243525273,0.41970465265432155,27111,False
40,13.991966335802532,1,triangular,0.14920595761863517,0.3074100621696086,-0.4533066927190166,0.751718607956287,0.6274177485498855,35583,False
40,13.991966335802532,1,uniform,0.3462477182858217,0.3582468581784854,-0.35590322131863816,1.0483986578902815,0.33379107344776116,35583,False
40,13.991966335802532,2,triangular,-0.7061075205914742,0.4197256008341999,-1.528754581615941,0.11653954043299253,0.09250923014448609,35583,False
40,13.991966335802532,2,uniform,-0.10378804351374252,0.5126407263262778,-1.1085454041217013,0.9009693170942162,0.839558952888595,35583,False
50,17.489957919753163,1,triangular,0.2065022352564364,0.27620453422309643,-0.33484870418749335,0.7478531747003662,0.4546758512979907,46068,False
50,17.489957919753163,1,uniform,0.241622257036263,0.3232764095597484,-0.3919878627522639,0.8752323768247898,0.4548119375482622,46068,False
50,17.489957919753163,2,triangular,-0.223944450474319,0.3769361898467787,-0.9627258070437575,0.5148369060951196,0.5524334139062406,46068,False
50,17.489957919753163,2,uniform,0.24443836866069824,0.45995096533235674,-0.657048958045152,1.1459256953665484,0.5951108548345281,46068,False
