relative_time,estimate,se,ci_low,ci_high
-8,-1.7610233772536492,1.0082785113498263,-3.737212945884969,0.21516619137767035
-7,-3.032374138946095,0.9170777000469436,-4.829813402062931,-1.2349348758292589
-6,-1.4249768498027722,0.9249207225465174,-3.23778815454871,0.3878344549431658
-5,-3.73012805418469,0.9903423161612034,-5.671163326226628,-1.789092782142752
-4,-1.7552473177727888,0.8775890757434064,-3.4752902994556587,-0.035204336089918575
-3,-1.3828020841174675,0.8923057654381121,-3.131689247573613,0.3660850793386776
-2,-0.20156260135327042,0.8296099159627104,-1.8275681578574838,1.4244429551509428
-1,0.0,0.0,0.0,0.0
0,0.348205728515915,1.2119212922421827,-2.0271163563760046,2.723527813407835
1,0.694345407380873,0.8686917314847378,-1.0082590999969523,2.3969499147586983
2,0.5131489210339151,0.8473434924485629,-1.1476138066996555,2.1739116487674854
3,-0.10071184541399666,0.850797729175125,-1.7682447527257044,1.5668210618977112
4,1.4702105684784041,0.8252980756651671,-0.14734393633553577,3.087765073292344
5,2.8465600684384924,0.7815615794645915,1.3147275209876537,4.378392615889331
6,1.455029126347038,0.8883185251114789,-0.2860431896712001,3.1961014423652765
7,2.187429722990676,0.8086933177623696,0.602419945638226,3.7724395003431264
8,2.9113859624235223,0.745155063187065,1.4509088756792066,4.371863049167838
